PERMNO|DATE|PRC
71475|19981005|26.3125
71475|19981006|26.3125
71475|19981007|26.5
71475|19981008|25.75
71475|19981009|25
71475|19981012|25.125
71475|19981013|25.25
71475|19981014|25.5625
71475|19981015|25.9375
71475|19981016|26.25
71475|19981019|26
71475|19981020|26.625
71475|19981021|27.375
71475|19981022|27
71475|19981023|26.625
71475|19981026|26
71475|19981027|25.25
71475|19981028|25.5625
71475|19981029|25.6875
71475|19981030|26.25
71475|19981102|26.5625
71475|19981103|26.625
71475|19981104|27.5
71475|19981105|26.9375
71475|19981106|27
71475|19981109|26.625
71475|19981110|27.4375
71475|19981111|27.3125
71475|19981112|27.25
71475|19981113|27.25
71475|19981116|27.3125
71475|19981117|27.25
71475|19981118|27.0625
71475|19981119|27.3125
71475|19981120|27.375
71475|19981123|28.5
71475|19981124|28.625
71475|19981125|28.5625
71475|19981127|28.375
71475|19981130|28.25
71475|19981201|28.125
71475|19981202|27.0625
71475|19981203|27.375
71475|19981204|28.25
71475|19981207|28.6875
71475|19981208|29.125
71475|19981209|28.625
71475|19981210|29
71475|19981211|28.3125
71475|19981214|28.5625
71475|19981215|28.3125
71475|19981216|28.125
71475|19981217|27.1875
71475|19981218|27.1875
71475|19981221|26.875
71475|19981222|26.5
71475|19981223|26.5
71475|19981224|26.625
71475|19981228|26.625
71475|19981229|26.625
71475|19981230|26.75
71475|19981231|27.25
71475|19990104|27.625
71475|19990105|28.25
71475|19990106|27.75
71475|19990107|27.5625
71475|19990108|28.125
71475|19990111|28.5
71475|19990112|28.6875
71475|19990113|29
71475|19990114|29.75
71475|19990115|29.5625
71475|19990119|29.75
71475|19990120|29.9375
71475|19990121|29.75
71475|19990122|29.75
71475|19990125|29.75
71475|19990126|29.4375
71475|19990127|29.25
71475|19990128|29
71475|19990129|28.5625
71475|19990201|27.5625
71475|19990202|27.625
71475|19990203|29.5625
71475|19990204|30
71475|19990205|29
71475|19990208|29.1875
71475|19990209|29
71475|19990210|28.375
71475|19990211|27.75
71475|19990212|26.8125
71475|19990216|26.4375
71475|19990217|25.6875
71475|19990218|23.875
71475|19990219|24.4375
71475|19990222|24.5
71475|19990223|26
71475|19990224|25.75
71475|19990225|27.5625
71475|19990226|28.1875
71475|19990301|28.4375
71475|19990302|28.375
71475|19990303|27.5625
71475|19990304|27.875
71475|19990305|28.4375
71475|19990308|27.9375
71475|19990309|27.5
71475|19990310|27.375
71475|19990311|26.5625
71475|19990312|26.75
71475|19990315|27.6875
71475|19990316|28.0625
71475|19990317|26.5
71475|19990318|25.875
71475|19990319|25.4375
71475|19990322|24.8125
71475|19990323|24.8125
71475|19990324|25.1875
71475|19990325|25.3125
71475|19990326|25.3125
71475|19990329|25.125
71475|19990330|25.125
71475|19990331|24.25
71475|19990401|24.9375
71475|19990405|25.0625
71475|19990406|25.1875
71475|19990407|24.5625
71475|19990408|24.0625
71475|19990409|24.0625
71475|19990412|22.3125
71475|19990413|24.125
71475|19990414|24.4375
71475|19990415|23.625
71475|19990416|24.6875
71475|19990419|24.625
71475|19990420|24.4375
71475|19990421|24.3125
71475|19990422|24.4375
71475|19990423|24.3125
71475|19990426|24.75
71475|19990427|25.25
71475|19990428|26.3125
71475|19990429|26
71475|19990430|25.4375
71475|19990503|25.0625
71475|19990504|25.625
71475|19990505|26.125
71475|19990506|26
71475|19990507|26.25
71475|19990510|26.25
71475|19990511|26.25
71475|19990512|25.875
71475|19990513|26.5
71475|19990514|26.625
71475|19990517|26.1875
71475|19990518|25.8125
71475|19990519|25.5
71475|19990520|25.75
71475|19990521|25.125
71475|19990524|26
71475|19990525|26.125
71475|19990526|26.375
71475|19990527|26.1875
71475|19990528|26.6875
71475|19990601|27.125
71475|19990602|28.8125
71475|19990603|27.875
71475|19990604|27.875
71475|19990607|27.4375
71475|19990608|27.6875
71475|19990609|27.9375
71475|19990610|27.9375
71475|19990611|27.75
71475|19990614|27.6875
71475|19990615|27.875
71475|19990616|27.5
71475|19990617|28.375
71475|19990618|28.3125
71475|19990621|28.8125
71475|19990622|28.75
71475|19990623|29.1875
71475|19990624|28.3125
71475|19990625|28
71475|19990628|27.75
71475|19990629|27.875
71475|19990630|28.375
71475|19990701|28.8125
71475|19990702|29
71475|19990706|30.125
71475|19990707|30.9375
71475|19990708|30.375
71475|19990709|30.8125
71475|19990712|31.3125
71475|19990713|31.125
71475|19990714|31.3125
71475|19990715|32
71475|19990716|32.3125
71475|19990719|32
71475|19990720|31.6875
71475|19990721|31.25
71475|19990722|30.75
71475|19990723|30.8125
71475|19990726|30.25
71475|19990727|29.8125
71475|19990728|30.0625
71475|19990729|30
71475|19990730|30.0625
71475|19990802|30.125
71475|19990803|30.5
71475|19990804|32.0625
71475|19990805|31.875
71475|19990806|32.375
71475|19990809|32.125
71475|19990810|31.5
71475|19990811|31.25
71475|19990812|30.8125
71475|19990813|30.9375
71475|19990816|31.25
71475|19990817|31.3438
71475|19990818|32.125
71475|19990819|31.875
71475|19990820|32
71475|19990823|33.25
71475|19990824|33.375
71475|19990825|33.5
71475|19990826|34.0625
71475|19990827|34.125
71475|19990830|35.125
71475|19990831|35.25
71475|19990901|35.125
71475|19990902|34.5
71475|19990903|35.125
71475|19990907|35.5
71475|19990908|36.5
71475|19990909|37.0625
71475|19990910|36.5
71475|19990913|36.0625
71475|19990914|35
71475|19990915|35.5
71475|19990916|34.8125
71475|19990917|34.1875
71475|19990920|32.625
71475|19990921|31.9375
71475|19990922|31
71475|19990923|30.125
71475|19990924|30.5
71475|19990927|31.375
71475|19990928|31.9375
71475|19990929|33.3125
71475|19990930|33.125
71475|19991001|32.4375
71475|19991004|33.125
71475|19991005|33.5
71475|19991006|34.25
71475|19991007|33.5625
71475|19991008|33.5
71475|19991011|33.0625
71475|19991012|32.3125
71475|19991013|31.9375
71475|19991014|32.375
71475|19991015|32.4375
71475|19991018|32.75
71475|19991019|33
71475|19991020|32.875
71475|19991021|33.9375
71475|19991022|34.25
71475|19991025|33.8125
71475|19991026|32.9375
71475|19991027|34.3125
71475|19991028|34.5625
71475|19991029|34.3125
71475|19991101|34.875
71475|19991102|35.6875
71475|19991103|35.75
71475|19991104|35.75
71475|19991105|37.875
71475|19991108|37.5
71475|19991109|37.0625
71475|19991110|36.1875
71475|19991111|36.5
71475|19991112|36.0625
71475|19991115|35.625
71475|19991116|35
71475|19991117|35
71475|19991118|35.1875
71475|19991119|34.3125
71475|19991122|36.5
71475|19991123|37.375
71475|19991124|37.1875
71475|19991126|37.0625
71475|19991129|37.9375
71475|19991130|37.9375
71475|19991201|38.875
71475|19991202|39
71475|19991203|39.125
71475|19991206|38.875
71475|19991207|38.75
71475|19991208|38.0625
71475|19991209|37.3125
71475|19991210|39.75
71475|19991213|38.75
71475|19991214|38.875
71475|19991215|38.125
71475|19991216|37
